ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
iin.seo,232,120,2021-05-26,00:47:00,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_11.png,46
iin.seo,232,120,2021-05-23,17:33:34,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_12.png,47
iin.seo,232,120,2021-05-20,20:07:21,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_13.png,38
iin.seo,232,120,2021-05-20,02:22:19,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_14.png,48
iin.seo,232,120,2021-05-11,23:31:49,0,1,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_15.png,80
iin.seo,232,120,2021-05-06,13:15:15,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_16.png,34
5coxx__,1595,3,2021-06-11,13:56:22,1,0,"['lfl', 'lfl', 'l4l', 'likeforlike', 'sfs', 'fff', 'likeforlikes', 'likeforfollow', 'f4f', 'selfie', 'selca', 'ins']",5coxx___114.png,15
5coxx__,1595,3,2021-06-11,13:56:03,1,0,"['lfl', 'lfl', 'l4l', 'likeforlike', 'sfs', 'fff', 'likeforlikes', 'likeforfollow', 'f4f', 'selfie', 'selca', 'ins']",5coxx___115.png,17
5coxx__,1595,3,2021-06-11,13:36:44,1,0,"['lfl', 'lfl', 'l4l', 'likeforlike', 'sfs', 'fff', 'likeforlikes', 'likeforfollow', 'f4f', 'selfie', 'selca', 'ins', '나이키세트', '나이키트레이닝복', '나이키바람막이', '나이키아노락', '나이키조거팬츠', '나이키매니아', '나이키']",5coxx___116.png,23
5coxx__,1595,3,2021-06-11,13:36:38,1,0,"['lfl', 'lfl', 'l4l', 'likeforlike', 'sfs', 'fff', 'likeforlikes', 'likeforfollow', 'f4f', 'selfie', 'selca', 'ins', '나이키세트', '나이키트레이닝복', '나이키바람막이', '나이키아노락', '나이키조거팬츠', '나이키매니아', '나이키']",5coxx___117.png,20
